Identifier	Character	Dialogue	Filename	Line Number
runbitch_e62c51eb	snkw	80 философов назови!	game/code/1day.rpy	147
runbitch_fc7cec82	snkw	Можешь же, когда хочешь! Свободен, но на зачёте спрошу!	game/code/1day.rpy	153
runbitch_ab65552f	anon	Спасибо!	game/code/1day.rpy	154
runbitch_28318557		Ебать пронесло. Аж не ожидал, что расскажу так с ходу философов.	game/code/1day.rpy	159
runbitch_b71d0aa1		Пойду в БК, что. А то пересрался уже от Захарки.	game/code/1day.rpy	160
runbitch_23103898		Да тут очередь пиздец! Сука, ебучая гардеробщица! Откуда такая очередь? Бошка ещё болит.	game/code/1day.rpy	162
runbitch_cbcda7c2	kit	Ебучая гардеробщица.	game/code/1day.rpy	163
runbitch_602d9d23		Ну наконец-то она пришла.	game/code/1day.rpy	164
runbitch_4f49dceb	snkw	Вообще офонарел не знать философов??? {w}Какой Александр Македонский? Пошли к директору!	game/code/1day.rpy	170
runbitch_5d2e323c	anon	Но можно я потом их сдам, честно!	game/code/1day.rpy	171
runbitch_5ae1a737	snkw	Тогда я тебя хорошо спрошу глоссарий. Не сдашь - будешь в кабинете у директора, на отчисление!	game/code/1day.rpy	172
runbitch_5e7d8150	anon	Хорошо...	game/code/1day.rpy	173
runbitch_92e4e416		Ебать пронесло. Но надо учить этих сраных философов	game/code/1day.rpy	179
runbitch_ceda10e6		Пойду в БК нахуй.	game/code/1day.rpy	180
runbitch_23103898_1		Да тут очередь пиздец! Сука, ебучая гардеробщица! Откуда такая очередь? Бошка ещё болит.	game/code/1day.rpy	182
runbitch_cbcda7c2_1	kit	Ебучая гардеробщица.	game/code/1day.rpy	183
runbitch_602d9d23_1		Ну наконец-то она пришла.	game/code/1day.rpy	184
runbitch_6418cc7b	anon	Нет, я передумал.	game/code/1day.rpy	190
runbitch_4d16a982	snkw	Пошёл к директору, залупоглаз!	game/code/1day.rpy	191
runbitch_8aee7c4c		Мне пизда.	game/code/1day.rpy	192
snkwdown_dd3f8481	anon	Смотрите, кто-то уронил сборник синквейнов!	game/code/1day.rpy	197
snkwdown_3f6974a0	snkw	Где!? Убью к чертям! Покаж… А ну быстро вернулся, тварь такая!	game/code/1day.rpy	199
snkwdown_408ab7a5		БЕЖАТЬ, СКОРЕЕ БЕЖАТЬ В БК. БЛЯТЬ, У НЕЁ МОЯ ПАРА СЕГОДНЯ!	game/code/1day.rpy	202
snkwdown_422762b5		БЛЯТЬ, Я УПАЛ, СУКА, СКОРЕЕ ПОДНИМАТЬСЯ!	game/code/1day.rpy	208
snkwdown_93548f84		Да тут и очередь же пиздец! Сука, ебучая гардеробщица! Таак, надо слиться с толпой, чтобы захарка меня не нашла. Хоть тут КИТ играет за меня.	game/code/1day.rpy	209
snkwdown_6c2b4826	snkw	Никто не видел тут одну мразь?	game/code/1day.rpy	210
snkwdown_956c68c0		Блять! Хоть бы никто не спалил!	game/code/1day.rpy	212
snkwdown_c361d635	kits	Вы про кого вообще говорите?	game/code/1day.rpy	213
snkwdown_a2f54296	snkw	Ах вы мрази, подонки, вы должны знать, где скрывается [anon]! Я вам устрою! Но сначала найду эту сволочь!	game/code/1day.rpy	214
snkwdown_4268b7e9		Что. Это. Было. У неё же спросили только кого она искала. Ебанулась уже со своими синквейнами. Или тем, что у неё мудл взломали. Блин, весёлая была реакция.	game/code/1day.rpy	217
snkwdown_9dd75e82	snkw	МРАЗИ! ТВАРИ!	game/code/1day.rpy	220
snkwdown_2764a041	snkw	ПЛАНШЕТ ВЗЛОМАЛИ, МУДЛ ВЗОРВАЛИ! ЩА ПОПРОШУ ФОМИНА ВЫЧИСЛИТЬ, ОТЧИСЛЮ!	game/code/1day.rpy	222
snkwdown_ded51a51	kit	Что это была за хуйня?	game/code/1day.rpy	225
snkwdown_b4beb02b	kit	Хуй знает, это же Захарова. А кого она искала там?	game/code/1day.rpy	226
snkwdown_58f8a57d	kit	Вообще не ебу. Тут столько людей прошло, да и поебать как-то.	game/code/1day.rpy	227
snkwdown_a1028266	kit	Слушай, мне чот хуёво становится после столовки...	game/code/1day.rpy	228
snkwdown_3d9a83cd		Ёбанный в рот, даже не верю, что пронесло. Так, надо бы куртку взять. Сука, да где она нахуй?!	game/code/1day.rpy	229
snkwdown_7b3500b8		Ещё голова разболелась с этим трешаком всем.	game/code/1day.rpy	230
kitout_029fb612	centered	Спустя 30 минут	game/code/1day.rpy	237
kitout_b2c91a04		Наконец-то получил куртку, сука. Почему эта бабка так позволяет относиться к своей работе? Это был её выбор. А мой был – поступить сюда… Поступил бля, научился кодить. Синквейны в голове.	game/code/1day.rpy	240
kitout_e1a5e9a4		Всё таки я не понимаю, почему у меня после сна такое похмельное состояние, как будто ебашил до этого неделю. Похоже, я переутомился.	game/code/1day.rpy	241
kitout_9a3327e1		Пидор дирик сука. Как же он уже заебал ставить свою помойку на тротуаре. Просто пиздец.	game/code/1day.rpy	245
kitout_c27b1a3e		Погода была очень пасмурной - типичная осень в Петербурге, даже уже снег выпадал. Мимо меня проезжали машины. Почти прохожу забор КИТа, как вижу...	game/code/1day.rpy	247
kitout_9e7e5446		Кек лол ДИДЕРБОЛ. Интересно, за сколько закрасят эту надпись?	game/code/1day.rpy	249
kitout_6794b13d		Что-то быстро испортилась погода, надо скорее идти в БК, дабы не попасть под дождь.	game/code/1day.rpy	250
kitout_9e4df42b		Дорога до БК была недолгой и совершенно лишённой приключений, кроме...	game/code/1day.rpy	251
kitout_8c0553d0		Так а что он тут всё таки делает? Неужели решил отчислить пару китят, которые сидят в бк? Как он так быстро доехал?	game/code/1day.rpy	253
kitout_64cd7737		Что вообще сегодня происходит? То сон с каким-то ДП-10, то очень внезапная злая Захарка, то теперь дирик в БК. Вспышки на Солнце?	game/code/1day.rpy	254
kitout_3db2a67d		В любом случае, надо поесть, макароны-то спиздили.	game/code/1day.rpy	255
bk_b0252a4f		Ох, наконец-то родной БК. Закажу-ка я как обычно.	game/code/1day.rpy	263
bk_5dfcb788	bk	О, привет, [anon]!	game/code/1day.rpy	264
bk_9e959110	anon	Здорова, мне как обычно, обед с 2 вопперами.	game/code/1day.rpy	265
bk_78358ec2	bk	Без проблем, ща сделаем, с тебя 300 рублей. Гыйбать нах.	game/code/1day.rpy	266
bk_c7abe1d0	anon	Что ты сказал последнее?	game/code/1day.rpy	267
bk_07d8ce2d		Мне послышалось?	game/code/1day.rpy	268
bk_f9b0fe46	bk	С тебя 300 рублей, братан. Ты чего?	game/code/1day.rpy	269
bk_52d2da15	anon	Да ничего, просто бошка болит уже от кита	game/code/1day.rpy	270
bk_d12b713e		Похоже показалось, но что-то сегодня мне всё кажется.	game/code/1day.rpy	271
bk_190d0e82	bk	Как платить будешь-то?	game/code/1day.rpy	272
bk_b4531ea7	anon	А можно расплатиться картой?	game/code/1day.rpy	278
bk_0c22899d	bk	Нет, сорян, карты не принимаем.	game/code/1day.rpy	279
bk_bcf83c4b	anon	Подержи тогда заказ, пусть пока готовится. Я сейчас вернусь, вы же меня знаете.	game/code/1day.rpy	280
bk_33984ef9	bk	Без проблем, приходи только скорее, а то сегодня директор не самый добрый, какая-то баба новая.	game/code/1day.rpy	281
bk_2cb172a2	anon	Я мигом.	game/code/1day.rpy	282
bk_0e1c09b3		Блять, в Сбер идти. Сука, я ебал. Что же такое происходит? Что за трешак за день.	game/code/1day.rpy	283
bk_bbe7374e		ЕБАТЬ СУКА НАХУЙ. Главное не спалиться, снять только деньги.	game/code/1day.rpy	287
bk_f5b3e3db	pidor	...Значит так, девушка, я хочу на свой вклад положить 400 тысяч рублей. Мы тут недавно ремонт намутили, сдачу девать в наличных некуда - дома все банки заполнил с подушками, нужно уже потихоньку их скидывать мне на свой счет, незаметно главное. Это возможно? Если в течении 5 лет ежемесячно пополнять счет буду?	game/code/1day.rpy	289
bk_1a60a621		Что за? Вот дирик пидор, пиздит ежемесячно минимум 400К	game/code/1day.rpy	290
bk_6151b921	sber	А вы собираетесь снимать деньги со счёта?	game/code/1day.rpy	294
bk_24315ba0	pidor	Нет, только пополнять... Подождите пожалуйста..	game/code/1day.rpy	295
bk_842d8dec	pidor	Подслушиваешь? Охуел?	game/code/1day.rpy	298
bk_f96bb1f4	pidor	ТЫ ОТЧИСЛЕН! ТЫ ПОНЯЛ? ОТ-ЧИС-ЛЕН!	game/code/1day.rpy	299
bk_3d5f74ab	centered	Вы были отчислены за излишнюю любознательность	game/code/1day.rpy	302
bk_0c329fec	centered	КОНЕЦ ИГРЫ!	game/code/1day.rpy	303
bk_8281b8e9		Ладно, хрен с ним, сниму деньги и пойду, пока он меня не заметил.	game/code/1day.rpy	307
bk_170c860b	anon	Я вернулся.	game/code/1day.rpy	311
bk_681911be	bk	Хорошо, сейчас сделаем, с тебя 334 рубля.	game/code/1day.rpy	312
bk_172f7574	anon	Вот.	game/code/1day.rpy	313
bk2_34000410	bk	Заказ будет готов через минуты 3.	game/code/1day.rpy	318
bk2_78a1eb8c	anon	Спасибо.	game/code/1day.rpy	319
bk2_88b00f79		Сев за столик, я стал ожидать свой заказ. Погода за окном всё портилась, ближайший дом к Бургер Кингу скрылся в пелене тумана. Типичный Петербург. Хотя нет, что-то необычайно много машин полиции с мигалками.	game/code/1day.rpy	320
bk2_de9cd0bc		Митинг Нэвэльного? Да вроде нет. Может, накрыли каких-то террористов? Тоже нет, новости бы от этого разрывались.	game/code/1day.rpy	321
bk2_e4ac7b0b		А бошка продолжает болеть. Ладно, посмотрю пока новости.	game/code/1day.rpy	322
bk2_6cfdd789	bk	Заказ ДП10 готов!	game/code/1day.rpy	324
bk2_dc70da58		Чего блять? У меня же В-10. Ну ладно, подойду, чертовщина какая-то.	game/code/1day.rpy	326
bk2_d25ed076		И это был мой заказ, как нистранно. Что меня так глючит-то после сна?	game/code/1day.rpy	327
bk2_e6783404		Ебать, кто-то звонит. Отвечу чтоли. Чозанах.	game/code/1day.rpy	329
bk2_4e7027df	anon	Алло.	game/code/1day.rpy	330
bk2_80773673	snkw	Здравствуйте, меня зовут Екатерина Николаевна и я преподаватель философии в Санкт-Петербургском колледже Информационных технологий. Мне не нравится поведение Ваше...	game/code/1day.rpy	331
bk2_58e35b59		Ну нахуй это слушать. Сброшу нахуй.	game/code/1day.rpy	332
bk2_0abda3c8		Оп, а теперь СМС пришла.	game/code/1day.rpy	333
bk2_ec6a9251		Ебать, СМС пришла. Прочту.	game/code/1day.rpy	336
back2kit_ef5c4e68		{#l}{color=#000}Привет! Тебе надо явиться в кит!{/color}	game/code/1day.rpy	343
back2kit_90d58aca		{#r}{color=#FFF}Это ещё зачем?{/color}	game/code/1day.rpy	344
back2kit_80946f8b		{#l}{color=#000}Нет времени объяснять, надо!{/color}	game/code/1day.rpy	345
back2kit_e8a6b52b		Что за чертощина?	game/code/1day.rpy	346
back2kit_976bb4a7		Ебать, что же за хуйня в КИТе, что аж мне написали? Пойду посмотрю ради прикола.	game/code/1day.rpy	350
back2kit_ec5c8a1b		До сих пор угараю с этой хуйни.	game/code/1day.rpy	354
back2kit_aaaccee1		Он опять в КИТе? Да что за чертовщина?!	game/code/1day.rpy	356
back2kit_29e27a71		Не буду сдавать одежду в гардероб, пойду так.	game/code/1day.rpy	359
back2kit_673e502c	general	Э! Не пущу в одежде и без сменки!	game/code/1day.rpy	362
back2kit_1173d77c	anon	Ну пожалуста, товарищ Гвардии Майор!	game/code/1day.rpy	367
back2kit_3078d72d	general	Э! Шагом марш в гардероб!	game/code/1day.rpy	368
back2kit_e675aaa0	anon	Окей...	game/code/1day.rpy	369
back2kit_ba5b143c		Да блять, опять стоять очереди в гардеробе.	game/code/1day.rpy	376
back2kit_cefd0d43		Сука. Пиздец.	game/code/1day.rpy	378
back2kit_2e06f45a	centered	Спустя 2 минуты	game/code/1day.rpy	380
back2kit_977124fc		Ебать быстро сдался. Ладно, пойду на пару.	game/code/1day.rpy	382
back2kit_4cd9f02a		Похер, брошу пятак.	game/code/1day.rpy	389
back2kit_5cbfbf8f		Так, надену эти бахилы, чтобы Маркович отстал.	game/code/1day.rpy	391
back2kit_9e11195c		Наебу дирика и брошу жетончик с пидором.	game/code/1day.rpy	395
back2kit_a1b948f0		Идеальное преступление. А теперь надену эти бахилы, чтобы Маркович отстал.	game/code/1day.rpy	397
back2kit_5a12ab21	general	Э! Ты куда? А ну-ка стой...	game/code/1day.rpy	402
back2kit_6b61c001		Ууф, убежал от этого старика. Ладно, сейчас куртку в портфель положу и пойду на пару.	game/code/1day.rpy	406
nn_3622e7cb		Так, что у нас сейчас? Блять, НН! Опять локалхосты и апачи в ядре винды...	game/code/1day.rpy	411
nn_9dfd9240	centered	Через некоторое время на паре у НН...	game/code/1day.rpy	414
nn_7e8393a4	nn	Box2D - это CMS для матриц от компании Microsoft для Visual Studio, которую все ждали!	game/code/1day.rpy	417
nn_06b47de6		Пиздееееец. Охуеть какая пара... Бошка болит.	game/code/1day.rpy	418
nn_247fb3c4	zver	Здравстуйте! Мне нужен ваш компьютер!	game/code/1day.rpy	420
nn_de300456		БЛЯЯЯЯЯТЬ, ТЕБЯ ЗДЕСЬ НЕ ХВАТАЛО, СУКА!	game/code/1day.rpy	421
nn_4afc0671	nn	Да, конечно, посмотрите, а то не запускается.	game/code/1day.rpy	422
nn_e1961541		Сука, да там оперативу просто спиздили, пощади, тупая сука! Пиздец же воняет!	game/code/1day.rpy	424
nn_f5d81a94	nn	Продолжим пару. Открывайте localhost в ядре Windows 7.	game/code/1day.rpy	425
nn_8754f6cc	anon	Вы меня, конечно, простите, но в ядре винды нет никаких локалхостов! И Box2D - это не CMS для матриц! Господи!	game/code/1day.rpy	430
nn_bfe5e403	nn	Ты ставишь под сомнение мой профессионализм?	game/code/1day.rpy	431
nn_74a8f688	anon	Ставлю! Кстати, какой версии у вас Apachе стоит?	game/code/1day.rpy	432
nn_fb923c49	nn	Я на паре никого не держу, можешь идти на выход!	game/code/1day.rpy	433
nn_03756488		Надо притушить пукан, а то ещё огребу.	game/code/1day.rpy	440
nn_c8860131		Ладно, потерплю эту бредятину.	game/code/1day.rpy	444
nn_ee3898f5		Мда, пара просто класс. И сколько мне сидеть? Ещё час! Сука!	game/code/1day.rpy	445
nn_2813fb6f	zver	Я у вас этот комплюхтер заберу?	game/code/1day.rpy	447
nn_ff613ba4	nn	Да, забирайте.	game/code/1day.rpy	448
nn_1ec648c3		Меня сейчас вырвет.	game/code/1day.rpy	449
whitenn_0243007c		Какое же пиздатое задание, справился за 15 минут.	game/code/1day.rpy	456
whitenn_23a42b9b	centered	На перемене.	game/code/1day.rpy	458
whitenn_bb59de48	nn	Пара закончена. Увидимся на следующей паре. Не забудьте про сайт на ДЗ.	game/code/1day.rpy	460
whitenn_7a4c2309		Пиздец ебаная пара. Наконец-то она закончилась. Как и все пары в этой шараге.	game/code/1day.rpy	461
whitenn_0fb78ad7		Надо отсюда валить.	game/code/1day.rpy	462
whitenn_b0d9d3b2		Сука, ебучие перваки! Нет бы нормально пройти и не выпендриваться!	game/code/1day.rpy	467
whitenn_39f8218f	anon	Ну что за хуйня?	game/code/1day.rpy	468
whitenn_5ba26f2d	kit	Да там Маркович поехал, не выпускает вообще.	game/code/1day.rpy	469
whitenn_cb13c3fb		С чего это... Что с ним такое происходит.	game/code/1day.rpy	470
whitenn_cc374e45	kits	Ну выпустите! Нам домой надо.	game/code/1day.rpy	472
whitenn_175a34d8	general	Э! Не выпущу! Пара ещё не кончилась.	game/code/1day.rpy	473
whitenn_4df81e71	anon	Ну вообще-то кончилась.	game/code/1day.rpy	474
whitenn_46a03992	general	Э! Ты можешь проходить. Иди давай.	game/code/1day.rpy	476
whitenn_58aec1ac		Ничего себе поворот.	game/code/1day.rpy	477
whitenn_78a1eb8c	anon	Спасибо.	game/code/1day.rpy	478
whitenn_3e715bfa		О, и пустой гардероб. Красота. Не зря тогда похоже послушался Марковича.	game/code/1day.rpy	482
whitenn_97ff67ec	general	Э! Что, самый умный? Никого не пущу до звонка!	game/code/1day.rpy	485
whitenn_1d493785		Надо тушить воё сопло, а то хуже будет.	game/code/1day.rpy	489
whitenn_a75c2dc1	centered	Прошло 15 минут.	game/code/1day.rpy	491
whitenn_a1fb13ac	general	Э! Я ещё не слышал звонка! Не пущу!	game/code/1day.rpy	494
whitenn_432c7c70	kit	Трррррррррр	game/code/1day.rpy	496
whitenn_a319b2dd	kits	О, вот и звонок!	game/code/1day.rpy	499
whitenn_6e9dac91	general	Э! О, вот теперь звонок. Проходите.	game/code/1day.rpy	500
whitenn_199007d9		НАКОНЕЦ-ТО. А то уже тут охуеть можно.	game/code/1day.rpy	501
whitenn_d8786364		А мне ещё дома пизда ждёт. Вообще день говно.	game/code/1day.rpy	503
whitenn_18765111		Ещё и очередь, ну сука, опять стоять. Что же за день просто?	game/code/1day.rpy	506
whitenn_5761cb93	centered	Прошло 20 минут.	game/code/1day.rpy	509
whitenn_dd603aba		Меня разрывает нахуй. Ну берегись!	game/code/1day.rpy	513
whitenn_445be704	general	ЭЭЭ! СТОЯТЬ!	game/code/1day.rpy	514
whitenn_48129f24	general	Э! Я КОМУ СКАЗАЛ СТОЯТЬ! ТЫ КУДА...	game/code/1day.rpy	515
whitenn_fdc29fa0		Заебал уже. И кит заебал пиздос. Валить надо отсюда.	game/code/1day.rpy	516
whitenn_2a5d6c9f		Надо скорее валить.	game/code/1day.rpy	519
whitenn_364ab63c		Конечно, пизда меня дома ждёт, но что делать.	game/code/1day.rpy	521
blacknn_4c542045		Ну нахер всё. Пойду отсюда. Вообще тупая пиздец.	game/code/1day.rpy	526
blacknn_71312e2a	nn	Ну и уходи.	game/code/1day.rpy	527
blacknn_446f8707		Пойду по основной лестнице	game/code/1day.rpy	533
blacknn_aa170526		Ух, пока вроде всё хоро...	game/code/1day.rpy	535
blacknn_7e45399c	pidor	ПОЧЕМУ НЕ НА ПАРЕ??? ОТВЕЧАЙ!	game/code/1day.rpy	538
blacknn_88760ef1	anon	Ээээээ...	game/code/1day.rpy	539
blacknn_e3ef69a4		Ну тебя нахер, пидор, надо пробежать.	game/code/1day.rpy	551
blacknn_f7dabfda	pidor	Ты куда побежал? Ну-ка быстро вернулся, а то отчил...	game/code/1day.rpy	552
blacknn_4e11f957		Как будто я это раньше не слышал. Тааак, надо спрятаться.	game/code/1day.rpy	554
blacknn_081cae44		Так, лучше взять все свои вещи и валить отсюда.	game/code/1day.rpy	556
blacknn_05aa4e44		Охуенный пустой гардероб. Надо только быстро.	game/code/1day.rpy	558
blacknn_b52ae178		Отлично, а теперь пора валить.	game/code/1day.rpy	559
blacknn_6da36605		А зачем прятаться, если у меня нет одежды в гардеробе? Лучше выйду отсюда.	game/code/1day.rpy	562
blacknn_5f20b85a	anon	Да плохо себя чувствую, вот, отпустили с пары.	game/code/1day.rpy	569
blacknn_28b3c219	pidor	А что ты тогда не в медпункте???	game/code/1day.rpy	570
blacknn_80f6b3e3	anon	Потому что туда и шёл, не дошёл, и тут вы.	game/code/1day.rpy	571
blacknn_b678c3cd	pidor	Ну смотри мне! Пошёл быстро в медкабинет, проверю!	game/code/1day.rpy	572
blacknn_849a7163	anon	Хорошо.	game/code/1day.rpy	573
blacknn_1bf5af73		Вот ведь пидор-то, а. Какая ему разница от посещённых пар, если на них говорят хуйню. Ладно, придётся идти в медпункт.	game/code/1day.rpy	574
blacknn_ed2f4b09		Блин, сидеть ещё тут сколько времени надо будет. Хрен его знает.	game/code/1day.rpy	577
blacknn_cb043ace	medkit	Какими судьбами, [anon]?	game/code/1day.rpy	578
blacknn_e6996700	anon	Да, от дирика спрятаться, с пары свалил, с преподом пособачился, а тут он.	game/code/1day.rpy	579
blacknn_5e925f86	medkit	Так давай помогу. Напишу тебе бумажку, что я тебя домой направила.	game/code/1day.rpy	580
blacknn_34cdf001	anon	Было бы неплохо.	game/code/1day.rpy	581
blacknn_362e174e		Какая-то внезапная доброта. Что происходит вообще сегодня?!	game/code/1day.rpy	582
blacknn_a064d07b	medkit	Готово! На тебе освобождение от пар на этот день. И это. {i}Завтра тоже жетон в бахильник не вставляй{/i}, кое-что узнаешь.	game/code/1day.rpy	584
blacknn_10ad6e90	medkit	Готово! На тебе освобождение от пар на этот день. И это. {i}В следующий раз вставь в бахильник 5 рублей{/i}. Кое-что узнаешь.	game/code/1day.rpy	586
blacknn_c450b480		{b}ЧЕГОООООО?{/b}	game/code/1day.rpy	587
blacknn_532b74c1	anon	Что вы сказали?	game/code/1day.rpy	588
blacknn_b9f8a98b	medkit	Говорю, иди давай домой, пока пара не кончилась.	game/code/1day.rpy	589
blacknn_6c2ded09		Что за херота происходит???	game/code/1day.rpy	590
blacknn_5999bb85		Ладно, пойду в гардероб.	game/code/1day.rpy	592
blacknn_79a8c199		Когда гардероб пустой - это охуенно.	game/code/1day.rpy	594
blacknn_40906c27		Ладно, пора на выход.	game/code/1day.rpy	596
blacknn_207e4fe5		Правда пизда меня дома ждёт, но что делать.	game/code/1day.rpy	598
blacknn_eda11337	anon	Пошёл ты нахуй, сраный уёбок-коррупционер!	game/code/1day.rpy	604
blacknn_ed065897	anon	А ещё я знаю, что ты деньги спиздил, которые выделяли шараге на ремонт!	game/code/1day.rpy	606
blacknn_34709548	pidor	Ах ты мразь! Быстро ко мне в кабинет!	game/code/1day.rpy	607
blacknn_3e74b035		Он схватил меня за шкирятник!	game/code/1day.rpy	608
blacknn_72b2d495	pidor	Отчислен нахуй! Вали отсюда, пока полицию не вызвал!	game/code/1day.rpy	611
blacknn_2f608666	centered	Вы были отчислены за борзость.	game/code/1day.rpy	613
blacknn_b1167da9		Пойду по пожарной лестнице	game/code/1day.rpy	617
blacknn_ec643be1	snkw	Таак, кто это у нас? [anon]? Подходи сюда.	game/code/1day.rpy	619
blacknn_ae902f12	snkw	Я хотела сказать, что ты хороший программист и студент. Но хотелось бы, чтобы ты меньше матерился. А почему ты не на паре?	game/code/1day.rpy	623
blacknn_06c6db74	anon	Да меня отпустили, уже просто задание всё сделал, вот и иду домой.	game/code/1day.rpy	624
blacknn_510f2afc	snkw	Молодец! Кстати, на зачёте я тебе пойду навстречу!	game/code/1day.rpy	625
blacknn_d994a5cd	anon	Отлично.	game/code/1day.rpy	626
blacknn_28a71296	snkw	До свидания!	game/code/1day.rpy	627
blacknn_6efcc24b		Внезапно добрая Захарка. Как на неё синквейны действуют, однако.	game/code/1day.rpy	631
blacknn_9f2c53bb		Ладно, пора домой.	game/code/1day.rpy	632
blacknn_8df8727f		О, пустой гардероб. Хоть это охуенно. Надо скорее валить	game/code/1day.rpy	635
